iter	Passed	Remaining
448	1129	3902
449	1132	3899
450	1134	3896
451	1137	3894
452	1139	3891
453	1142	3888
454	1144	3886
455	1147	3883
456	1149	3882
457	1152	3879
458	1154	3876
459	1157	3873
460	1159	3871
461	1161	3868
462	1164	3865
463	1166	3863
464	1169	3861
465	1172	3858
466	1174	3855
467	1177	3853
468	1179	3850
469	1181	3847
470	1184	3844
471	1186	3842
472	1188	3838
473	1191	3835
474	1193	3832
475	1196	3830
476	1199	3828
477	1201	3825
478	1203	3822
479	1206	3820
480	1209	3818
481	1211	3816
482	1214	3813
483	1216	3810
484	1219	3808
485	1221	3805
486	1224	3802
487	1226	3800
488	1229	3798
489	1231	3795
490	1234	3792
491	1236	3790
492	1239	3787
493	1241	3784
494	1243	3781
495	1246	3779
496	1248	3776
497	1251	3774
498	1253	3771
499	1256	3769
500	1258	3766
501	1261	3763
502	1263	3761
503	1266	3758
504	1268	3755
505	1271	3753
506	1273	3751
507	1276	3748
508	1278	3746
509	1281	3743
510	1283	3740
511	1286	3738
512	1289	3737
513	1291	3734
514	1294	3732
515	1297	3730
516	1299	3727
517	1301	3724
518	1304	3722
519	1306	3719
520	1309	3717
521	1312	3714
522	1314	3712
523	1317	3710
524	1319	3708
525	1322	3706
526	1325	3704
527	1327	3701
528	1330	3699
529	1333	3698
530	1335	3695
531	1338	3693
532	1340	3690
533	1343	3688
534	1345	3685
535	1348	3682
536	1350	3680
537	1353	3677
538	1355	3675
539	1358	3672
540	1360	3670
541	1363	3667
542	1365	3664
543	1368	3662
544	1370	3659
545	1373	3657
546	1375	3654
547	1378	3652
548	1380	3649
549	1383	3647
550	1386	3644
551	1388	3642
552	1390	3639
553	1393	3637
554	1396	3635
555	1398	3632
556	1401	3630
557	1403	3627
558	1406	3625
559	1408	3622
560	1411	3619
561	1413	3617
562	1416	3614
563	1418	3612
564	1421	3609
565	1423	3606
566	1426	3604
567	1428	3601
568	1431	3599
569	1433	3596
570	1436	3594
571	1439	3592
572	1441	3590
573	1444	3587
574	1446	3585
575	1448	3582
576	1451	3579
577	1453	3576
578	1456	3574
579	1458	3571
580	1461	3568
581	1463	3566
582	1466	3563
583	1468	3561
584	1471	3558
585	1473	3555
586	1476	3553
587	1478	3550
588	1481	3547
589	1483	3545
